design,session,fixed_fp,adaptive_fp,qc_flagged_session,n_calibration,n_test
chronological,d01_t01,0.025333333333333333,0.03333333333333333,False,1500,1500
chronological,d01_t02,0.11266666666666666,0.017333333333333333,False,1500,1500
chronological,d02_t01,0.014666666666666666,0.014,False,1500,1500
chronological,d02_t02,0.018666666666666668,0.008666666666666666,False,1500,1500
chronological,d03_t01,0.043333333333333335,0.034666666666666665,False,1500,1500
chronological,d03_t02,0.025333333333333333,0.03866666666666667,False,1500,1500
chronological,d04_t01,0.03,0.03,True,1500,1500
chronological,d04_t02,0.032,0.038,True,1500,1500
chronological,d05_t01,0.05466666666666667,0.04533333333333334,False,1500,1500
chronological,d05_t02,0.024,0.028,False,1500,1500
stratified,d01_t01,0.02531645569620253,0.02598267821452365,False,1499,1501
stratified,d01_t02,0.08988015978695073,0.015978695073235686,False,1498,1502
stratified,d02_t01,0.02130492676431425,0.02330226364846871,False,1498,1502
stratified,d02_t02,0.037308461025982675,0.005329780146568954,False,1499,1501
stratified,d03_t01,0.05659121171770972,0.02596537949400799,False,1498,1502
stratified,d03_t02,0.03395472703062583,0.02596537949400799,False,1498,1502
stratified,d04_t01,0.03592814371257485,0.030605455755156354,True,1497,1503
stratified,d04_t02,0.031291611185086554,0.02862849533954727,True,1498,1502
stratified,d05_t01,0.06121091151031271,0.036593479707252165,False,1497,1503
stratified,d05_t02,0.03127079174983367,0.031936127744510975,False,1497,1503
