subject,session,windows,rejected,rejection_rate,reason_dropout
s01,d01_t01,13616,36,0.0026439482961222094,36
s01,d01_t02,13670,4,0.0002926115581565472,4
s01,d02_t01,13622,11,0.0008075172515049186,11
s01,d02_t02,13575,44,0.003241252302025783,44
s01,d03_t01,13607,36,0.00264569706768575,36
s01,d03_t02,13657,67,0.004905909057626126,67
s01,d04_t01,13670,488,0.035698610095098754,488
s01,d04_t02,13569,192,0.01414990050851205,192
s01,d05_t01,13595,12,0.0008826774549466716,12
s01,d05_t02,13653,25,0.001831099392075002,25
