protocol,bin_low,bin_high,n,mean_confidence,accuracy
within-session,0.0,0.1,0,nan,nan
within-session,0.1,0.2,0,nan,nan
within-session,0.2,0.30000000000000004,0,nan,nan
within-session,0.30000000000000004,0.4,0,nan,nan
within-session,0.4,0.5,0,nan,nan
within-session,0.5,0.6000000000000001,2507,0.5498270677108853,0.5712006382130036
within-session,0.6000000000000001,0.7000000000000001,2909,0.6510210041521652,0.6768649020281884
within-session,0.7000000000000001,0.8,3753,0.7542531039489452,0.7844391153743672
within-session,0.8,0.9,6723,0.8567799628641599,0.8763944667559126
within-session,0.9,1.0,70760,0.9843215560588079,0.9818965517241379
cross-session,0.0,0.1,0,nan,nan
cross-session,0.1,0.2,0,nan,nan
cross-session,0.2,0.30000000000000004,0,nan,nan
cross-session,0.30000000000000004,0.4,0,nan,nan
cross-session,0.4,0.5,0,nan,nan
cross-session,0.5,0.6000000000000001,10225,0.5507239178686245,0.5594132029339853
cross-session,0.6000000000000001,0.7000000000000001,11455,0.6517049158283875,0.6524661719773025
cross-session,0.7000000000000001,0.8,14318,0.7524596738877044,0.7436792848163152
cross-session,0.8,0.9,23450,0.8554409771911589,0.8388912579957356
cross-session,0.9,1.0,173106,0.9805638752368749,0.9713008214619944
cross-subject,0.0,0.1,0,nan,nan
cross-subject,0.1,0.2,0,nan,nan
cross-subject,0.2,0.30000000000000004,0,nan,nan
cross-subject,0.30000000000000004,0.4,0,nan,nan
cross-subject,0.4,0.5,0,nan,nan
cross-subject,0.5,0.6000000000000001,12242,0.5504470140217929,0.5593040352883516
cross-subject,0.6000000000000001,0.7000000000000001,13773,0.6517385952338184,0.6832207943077034
cross-subject,0.7000000000000001,0.8,18173,0.7529305660590997,0.7940901337148517
cross-subject,0.8,0.9,30627,0.855397560432162,0.8892153981780782
cross-subject,0.9,1.0,184930,0.9781427151568475,0.9787162710214676
random-shuffle,0.0,0.1,0,nan,nan
random-shuffle,0.1,0.2,0,nan,nan
random-shuffle,0.2,0.30000000000000004,0,nan,nan
random-shuffle,0.30000000000000004,0.4,0,nan,nan
random-shuffle,0.4,0.5,0,nan,nan
random-shuffle,0.5,0.6000000000000001,3382,0.5505806188415547,0.5706682436428149
random-shuffle,0.6000000000000001,0.7000000000000001,3835,0.6525554782244984,0.6810951760104302
random-shuffle,0.7000000000000001,0.8,5054,0.7534786864004761,0.7971903442817571
random-shuffle,0.8,0.9,8508,0.8560366773121506,0.8862247296661965
random-shuffle,0.9,1.0,57145,0.9783997051518231,0.9825181555691661
