protocol,bin_low,bin_high,n,mean_confidence,accuracy
within-session,0.0,0.1,0,nan,nan
within-session,0.1,0.2,0,nan,nan
within-session,0.2,0.30000000000000004,0,nan,nan
within-session,0.30000000000000004,0.4,0,nan,nan
within-session,0.4,0.5,0,nan,nan
within-session,0.5,0.6000000000000001,1367,0.5515616593451217,0.5969275786393563
within-session,0.6000000000000001,0.7000000000000001,1548,0.6528916585537348,0.6886304909560723
within-session,0.7000000000000001,0.8,2244,0.7539452517536064,0.7932263814616756
within-session,0.8,0.9,4040,0.8572648260080952,0.8821782178217822
within-session,0.9,1.0,77453,0.9892996603357471,0.9897615328005371
cross-session,0.0,0.1,0,nan,nan
cross-session,0.1,0.2,0,nan,nan
cross-session,0.2,0.30000000000000004,0,nan,nan
cross-session,0.30000000000000004,0.4,0,nan,nan
cross-session,0.4,0.5,0,nan,nan
cross-session,0.5,0.6000000000000001,5156,0.5498170795369002,0.5362684251357641
cross-session,0.6000000000000001,0.7000000000000001,5626,0.6509399029071335,0.5938499822253821
cross-session,0.7000000000000001,0.8,6674,0.7525663606215799,0.6666167216062332
cross-session,0.8,0.9,9919,0.85484085362034,0.801895352354068
cross-session,0.9,1.0,205179,0.9920341729340083,0.9836191813002305
cross-subject,0.0,0.1,0,nan,nan
cross-subject,0.1,0.2,0,nan,nan
cross-subject,0.2,0.30000000000000004,0,nan,nan
cross-subject,0.30000000000000004,0.4,0,nan,nan
cross-subject,0.4,0.5,0,nan,nan
cross-subject,0.5,0.6000000000000001,7655,0.5502528063222072,0.546309601567603
cross-subject,0.6000000000000001,0.7000000000000001,8148,0.6506339397653929,0.6537800687285223
cross-subject,0.7000000000000001,0.8,9997,0.7525552167945851,0.7786335900770232
cross-subject,0.8,0.9,17228,0.8563837215978015,0.8869282563269096
cross-subject,0.9,1.0,216717,0.9865341123680857,0.9849619549919941
random-shuffle,0.0,0.1,0,nan,nan
random-shuffle,0.1,0.2,0,nan,nan
random-shuffle,0.2,0.30000000000000004,0,nan,nan
random-shuffle,0.30000000000000004,0.4,0,nan,nan
random-shuffle,0.4,0.5,0,nan,nan
random-shuffle,0.5,0.6000000000000001,1739,0.551290366694184,0.569867740080506
random-shuffle,0.6000000000000001,0.7000000000000001,1993,0.6512454430159874,0.6909182137481185
random-shuffle,0.7000000000000001,0.8,2585,0.7526546440583917,0.8007736943907157
random-shuffle,0.8,0.9,4512,0.8562063820742554,0.901595744680851
random-shuffle,0.9,1.0,67095,0.9879145042682328,0.9900290632684999
