protocol,bin_low,bin_high,n,mean_confidence,accuracy
within-session,0.0,0.1,0,nan,nan
within-session,0.1,0.2,151,0.19129542338638145,0.16556291390728478
within-session,0.2,0.30000000000000004,9018,0.2648767213593947,0.26147704590818366
within-session,0.30000000000000004,0.4,17356,0.34984329530147,0.3115925328416686
within-session,0.4,0.5,14846,0.44792570559702577,0.38885895190623737
within-session,0.5,0.6000000000000001,9848,0.5458357378562304,0.4640536149471974
within-session,0.6000000000000001,0.7000000000000001,6431,0.6472084091194211,0.5353755248017416
within-session,0.7000000000000001,0.8,4798,0.74874258117952,0.6106711129637349
within-session,0.8,0.9,4893,0.8519244548197582,0.7265481299816063
within-session,0.9,1.0,19311,0.9736424334339902,0.9319040961110248
cross-session,0.0,0.1,0,nan,nan
cross-session,0.1,0.2,1221,0.1888947536414587,0.16216216216216217
cross-session,0.2,0.30000000000000004,31804,0.25935245080911346,0.22899635266004276
cross-session,0.30000000000000004,0.4,42834,0.3488206605373702,0.25624503898772005
cross-session,0.4,0.5,34049,0.44727233041727743,0.28735058298334754
cross-session,0.5,0.6000000000000001,24343,0.5470438050011592,0.31996877952594177
cross-session,0.6000000000000001,0.7000000000000001,17839,0.6476221000355656,0.34475026627053085
cross-session,0.7000000000000001,0.8,14704,0.7485323916932421,0.39635473340587596
cross-session,0.8,0.9,14157,0.8512337443050567,0.506463233735961
cross-session,0.9,1.0,51603,0.9739879316419838,0.8593298839214775
cross-subject,0.0,0.1,0,nan,nan
cross-subject,0.1,0.2,3753,0.18680131546362652,0.13296029842792434
cross-subject,0.2,0.30000000000000004,53765,0.2565353256508385,0.1526085743513438
cross-subject,0.30000000000000004,0.4,49824,0.3451355007005307,0.20171001926782273
cross-subject,0.4,0.5,27319,0.4474931004520294,0.25048501043229987
cross-subject,0.5,0.6000000000000001,21986,0.5451913198791632,0.3181570090057309
cross-subject,0.6000000000000001,0.7000000000000001,14632,0.6474949933797134,0.3773920174958994
cross-subject,0.7000000000000001,0.8,12861,0.7502316126125643,0.4865873571261955
cross-subject,0.8,0.9,16807,0.8539278719087923,0.6296186112929136
cross-subject,0.9,1.0,58798,0.9692059855801609,0.6812476614850845
random-shuffle,0.0,0.1,0,nan,nan
random-shuffle,0.1,0.2,4504,0.18586090471239822,0.18405861456483127
random-shuffle,0.2,0.30000000000000004,29291,0.24857437584775513,0.2274760165238469
random-shuffle,0.30000000000000004,0.4,14590,0.34226879697367524,0.33022618231665524
random-shuffle,0.4,0.5,6043,0.44400686703534054,0.4199900711567102
random-shuffle,0.5,0.6000000000000001,3498,0.5473201642395094,0.4911377930245855
random-shuffle,0.6000000000000001,0.7000000000000001,2867,0.6503789252742564,0.5748168817579351
random-shuffle,0.7000000000000001,0.8,2963,0.7508915408041023,0.6888288896388796
random-shuffle,0.8,0.9,3811,0.85334077488756,0.8129099973760168
random-shuffle,0.9,1.0,10357,0.9624396190631761,0.9440957806314569
