protocol,bin_low,bin_high,n,mean_confidence,accuracy
within-session,0.0,0.1,0,nan,nan
within-session,0.1,0.2,504,0.19030768412137236,0.23015873015873015
within-session,0.2,0.30000000000000004,15709,0.26167247467571014,0.2698453116048125
within-session,0.30000000000000004,0.4,21355,0.34758106756547386,0.3443690002341372
within-session,0.4,0.5,13277,0.44451311236623814,0.4479927694509302
within-session,0.5,0.6000000000000001,7161,0.5455107336354235,0.5515989386957129
within-session,0.6000000000000001,0.7000000000000001,4153,0.6464302403278065,0.6436311100409343
within-session,0.7000000000000001,0.8,2880,0.7481065871703048,0.7180555555555556
within-session,0.8,0.9,3252,0.8541471405311377,0.8314883148831488
within-session,0.9,1.0,18361,0.9676704850628656,0.9781057676597136
cross-session,0.0,0.1,0,nan,nan
cross-session,0.1,0.2,1596,0.19043611867397783,0.18671679197994986
cross-session,0.2,0.30000000000000004,40633,0.25875178785467334,0.2157113676076096
cross-session,0.30000000000000004,0.4,50913,0.34815209194523195,0.252568106377546
cross-session,0.4,0.5,37019,0.4467759116105511,0.31970069423809394
cross-session,0.5,0.6000000000000001,23804,0.5460777270796702,0.3820366324987397
cross-session,0.6000000000000001,0.7000000000000001,13945,0.645394712587513,0.419720329867336
cross-session,0.7000000000000001,0.8,8032,0.746599183057855,0.444347609561753
cross-session,0.8,0.9,6532,0.8513142955992847,0.5878750765462339
cross-session,0.9,1.0,50080,0.9796179251548458,0.9479632587859425
cross-subject,0.0,0.1,0,nan,nan
cross-subject,0.1,0.2,4432,0.18928978101307325,0.14034296028880866
cross-subject,0.2,0.30000000000000004,66571,0.254201856005311,0.17201183698607503
cross-subject,0.30000000000000004,0.4,48460,0.343396591266064,0.2105241436236071
cross-subject,0.4,0.5,28260,0.449487429901575,0.23471337579617835
cross-subject,0.5,0.6000000000000001,22091,0.5438078913781328,0.2664886152731882
cross-subject,0.6000000000000001,0.7000000000000001,12212,0.6472677393949002,0.30109728136259417
cross-subject,0.7000000000000001,0.8,10546,0.7510495789854791,0.4073582400910298
cross-subject,0.8,0.9,14220,0.855153940806334,0.6143459915611814
cross-subject,0.9,1.0,52953,0.9576823193029104,0.8824806904235831
random-shuffle,0.0,0.1,0,nan,nan
random-shuffle,0.1,0.2,5601,0.18730437530971186,0.19210855204427782
random-shuffle,0.2,0.30000000000000004,33090,0.24655144915259758,0.24128135388334845
random-shuffle,0.30000000000000004,0.4,13181,0.3406414114290428,0.36408466732417877
random-shuffle,0.4,0.5,4645,0.4423084451796885,0.44241119483315394
random-shuffle,0.5,0.6000000000000001,2258,0.5444126992593462,0.48095659875996455
random-shuffle,0.6000000000000001,0.7000000000000001,1318,0.6469014487148638,0.5804248861911988
random-shuffle,0.7000000000000001,0.8,1487,0.7506828005860575,0.7639542703429725
random-shuffle,0.8,0.9,2588,0.8576032482244033,0.9053323029366306
random-shuffle,0.9,1.0,13756,0.9591813965029784,0.9813899389357371
