protocol,split,n_train,n_test,accuracy,balanced_accuracy,ece,brier,nll,false_assist_rate,meta_subject,meta_session,meta_split_by,meta_train_repetitions,meta_test_repetitions,meta_train_sessions,meta_test_session,meta_sessions_elapsed,meta_held_out_subject,meta_warning,meta_seed
within-session,within/s01/d01_t01,9039,4541,0.9449460471261837,0.9325461998241613,0.010402086363762244,0.04378220657008278,0.1585309944333388,0.0222417969610218,s01,d01_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d01_t02,9109,4557,0.9427254772876893,0.9159597122893157,0.01242373139888058,0.04229448641596293,0.14617296570349972,0.032696949747640994,s01,d01_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d02_t01,9061,4550,0.9604395604395605,0.9490567566918281,0.0048561441279889594,0.029700730557128012,0.11049257640217598,0.017582417582417582,s01,d02_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d02_t02,9007,4524,0.9451812555260831,0.9446837344233289,0.005806356841398538,0.04104800517123717,0.14031056900456065,0.013041556145004421,s01,d02_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d03_t01,9050,4521,0.9588586595885866,0.9435984453601667,0.006064715328595219,0.03259513403702099,0.12071097328829548,0.024109710241097104,s01,d03_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d03_t02,9094,4496,0.9214857651245552,0.8936770776954872,0.004767669358929058,0.05887622107882943,0.19613628677039827,0.04403914590747331,s01,d03_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d04_t01,8768,4414,0.9433620299048482,0.8972564469586974,0.020862030597764362,0.04748118025256328,0.19318714315639646,0.044630720434979614,s01,d04_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d04_t02,8943,4434,0.9102390617952187,0.8873074430361632,0.034661651696970205,0.06674210052064845,0.22123670013375077,0.03856562922868741,s01,d04_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d05_t01,9054,4529,0.9330978140869949,0.913092317536455,0.01777788268992863,0.05092013097520664,0.17301224741937654,0.03135349966880106,s01,d05_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d05_t02,9072,4556,0.9422739244951712,0.9089873615228585,0.01699750993370868,0.042691279508450336,0.1479649015925372,0.03775241439859526,s01,d05_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d01_t01,9057,4554,0.945542380324989,0.95130834611873,0.005780877895094756,0.04346774908117787,0.15404151794878632,0.010101010101010102,s02,d01_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d01_t02,9090,4511,0.926845488805143,0.9209607465398346,0.020552384188140253,0.0592394675368346,0.22729810414340934,0.025271558412768787,s02,d01_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d02_t01,9055,4552,0.9417838312829525,0.9266972955812887,0.024150179600103495,0.04924384587095344,0.19822347042173596,0.02328646748681898,s02,d02_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d02_t02,1293,666,0.8588588588588588,0.6269809791512183,0.040496756228054646,0.09400354162506275,0.2987919240434853,0.10960960960960961,s02,d02_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d03_t01,9093,4572,0.9634733158355205,0.9719400887676874,0.012970430045464882,0.03230972046607381,0.13034749797520614,0.0028433945756780404,s02,d03_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d03_t02,9039,4529,0.9485537646279532,0.9450734717416989,0.009105512800221744,0.0389782264278969,0.13553937168748692,0.015014351954073748,s02,d03_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d04_t01,9073,4550,0.9547252747252747,0.9625696022360184,0.01781675322160155,0.038439786933032655,0.15196935284698107,0.005494505494505495,s02,d04_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d04_t02,9052,4524,0.9670645446507515,0.9741882635026,0.016855369646611378,0.02503179783707251,0.09049667411922543,0.0028735632183908046,s02,d04_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d05_t01,9056,4547,0.9465581702221245,0.9521775135303614,0.009814884823838991,0.0413295238206601,0.14597366507517837,0.009016934242357598,s02,d05_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d05_t02,9088,4525,0.9317127071823205,0.9286636438956293,0.02422537305745395,0.05237308176069094,0.18631407159790012,0.01966850828729282,s02,d05_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
cross-session,cross-session/s01/d01_t02,13580,13666,0.9133616273964583,0.8778047658947103,0.006936122494306704,0.06360028302672742,0.21163886676562202,0.04492902092785014,s01,,,,,d01_t01,d01_t02,1,,,
cross-session,cross-session/s01/d02_t01,13580,13611,0.9324076114907061,0.9237211265807577,0.01912407211204623,0.05157471490867553,0.18177959031373178,0.022334876203071046,s01,,,,,d01_t01,d02_t01,2,,,
cross-session,cross-session/s01/d02_t02,13580,13531,0.9187790998448008,0.8704103466517934,0.00626232262135454,0.062295085687660484,0.2142501871635416,0.053506762249648954,s01,,,,,d01_t01,d02_t02,3,,,
cross-session,cross-session/s01/d03_t01,13580,13571,0.9239554933313684,0.9191852573867081,0.022960802548552452,0.059359251658975515,0.2062978289813152,0.023727065065212587,s01,,,,,d01_t01,d03_t01,4,,,
cross-session,cross-session/s01/d03_t02,13580,13590,0.9193524650478293,0.9042662422996312,0.010085792362887707,0.061552272779610284,0.21249210949963998,0.03377483443708609,s01,,,,,d01_t01,d03_t02,5,,,
cross-session,cross-session/s01/d04_t01,13580,13182,0.9258837809133668,0.9223910019787404,0.01900203211280694,0.05621715886283892,0.1932637737511246,0.020103170990744955,s01,,,,,d01_t01,d04_t01,6,,,
cross-session,cross-session/s01/d04_t02,13580,13377,0.8653659265904163,0.8210798176098562,0.014769526197460608,0.10057428103332518,0.3297468477509006,0.0641399416909621,s01,,,,,d01_t01,d04_t02,7,,,
