protocol,split,n_train,n_test,accuracy,balanced_accuracy,ece,brier,nll,false_assist_rate,meta_subject,meta_session,meta_split_by,meta_train_repetitions,meta_test_repetitions,meta_train_sessions,meta_test_session,meta_sessions_elapsed,meta_held_out_subject,meta_warning,meta_seed
within-session,within/s01/d01_t01,9039,4541,0.9748953974895398,0.9732606931120742,0.009375281035381208,0.02217568630347778,0.08297479326910993,0.007267121779343757,s01,d01_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d01_t02,9109,4557,0.9719113451832346,0.9699970931931747,0.005689308075129563,0.02250561840411856,0.07901223484431007,0.008119376782971253,s01,d01_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d02_t01,9061,4550,0.9830769230769231,0.9820085634913532,0.0060576882565840096,0.01461924902852064,0.05903517348540624,0.004835164835164835,s01,d02_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d02_t02,9007,4524,0.9659593280282935,0.9735158527134441,0.009244676799022269,0.02453610959372968,0.08257479466549592,0.0028735632183908046,s01,d02_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d03_t01,9050,4521,0.9860650298606503,0.9847623223551063,0.01175610796381012,0.01041026926765266,0.04077292220872457,0.004866180048661801,s01,d03_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d03_t02,9094,4496,0.9653024911032029,0.9478081321876597,0.005206024969139384,0.02930838628638347,0.12261956964233105,0.023798932384341637,s01,d03_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d04_t01,8768,4414,0.9662437698232895,0.9372343254892292,0.014160170761328392,0.02873437899992767,0.11735610643324797,0.027639329406434075,s01,d04_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d04_t02,8943,4434,0.9600811907983762,0.9608014222554914,0.01896851027341342,0.034090382682503396,0.11740377189787787,0.009246729815065404,s01,d04_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d05_t01,9054,4529,0.9717376904393906,0.9749387467450625,0.006993255006844943,0.021149908541341148,0.0736162927579096,0.00463678516228748,s01,d05_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d05_t02,9072,4556,0.9747585601404741,0.9759556873147137,0.037797801197814125,0.02439978446531544,0.09604977783003404,0.0052677787532923615,s01,d05_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
