protocol,split,n_train,n_test,accuracy,balanced_accuracy,ece,brier,nll,false_assist_rate,meta_subject,meta_session,meta_split_by,meta_train_repetitions,meta_test_repetitions,meta_train_sessions,meta_test_session,meta_sessions_elapsed,meta_held_out_subject,meta_warning,meta_seed
within-session,within/s01/d01_t01,9039,4541,0.4970270865448139,0.42412962695267037,0.03802754405440729,0.6264169358452446,1.4316454069334819,0.011451222197753798,s01,d01_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d01_t02,9109,4557,0.48540706605222733,0.41482596669098504,0.06399965519925586,0.6250611460528732,1.3763982406597293,0.015360983102918587,s01,d01_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d02_t01,9061,4550,0.49252747252747253,0.4200785850400249,0.04090064184226909,0.626100973877327,1.4557511988131535,0.01010989010989011,s01,d02_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d02_t02,9007,4524,0.4849690539345712,0.41719507109770326,0.06881371705724455,0.6333775655017074,1.4087829231865285,0.00641025641025641,s01,d02_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d03_t01,9050,4521,0.568679495686795,0.4937688194038714,0.03440913295327322,0.5448280086613307,1.1852198807799936,0.015704490157044903,s01,d03_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d03_t02,9094,4496,0.531806049822064,0.4622002120088196,0.06409507243971597,0.5788406478824976,1.2964350946285863,0.026023131672597864,s01,d03_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d04_t01,8768,4414,0.5117806977797916,0.462474351961686,0.03580079328602638,0.6154597711414264,1.4443739611233204,0.032170367014046214,s01,d04_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d04_t02,8943,4434,0.5,0.42854076959219567,0.04262191517129014,0.63212792151538,1.4005786679653118,0.015561569688768605,s01,d04_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d05_t01,9054,4529,0.5274895120335615,0.4627560144211594,0.034693554254628514,0.6062963445357408,1.373832171967323,0.016780746301611835,s01,d05_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d05_t02,9072,4556,0.5355575065847235,0.4736987213833139,0.038738881914381434,0.6043660835033681,1.3958244151886288,0.018437225636523266,s01,d05_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
