protocol,split,n_train,n_test,accuracy,balanced_accuracy,ece,brier,nll,false_assist_rate,meta_subject,meta_session,meta_split_by,meta_train_repetitions,meta_test_repetitions,meta_train_sessions,meta_test_session,meta_sessions_elapsed,meta_held_out_subject,meta_warning,meta_seed
within-session,within/s01/d01_t01,9039,4541,0.5159656463334067,0.4423365210811948,0.016404884548455956,0.5924361938113876,1.3194201138407544,0.005945826910372164,s01,d01_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d01_t02,9109,4557,0.500109721307878,0.42474685684192637,0.021910571841609997,0.5872878199798269,1.207368872615545,0.003949967083607637,s01,d01_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d02_t01,9061,4550,0.503956043956044,0.428495047686066,0.010483737407153713,0.5963451407910345,1.3027622156818344,0.0035164835164835165,s01,d02_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d02_t02,9007,4524,0.4946949602122016,0.4255541157011127,0.039259041935596824,0.6077056058365979,1.3165499181954452,0.0017683465959328027,s01,d02_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d03_t01,9050,4521,0.5635921256359212,0.4782928498260929,0.03233011653840275,0.5200972550631745,1.0863643438802058,0.0022119000221190004,s01,d03_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d03_t02,9094,4496,0.5469306049822064,0.4761944823265861,0.029777501054638333,0.53702418143173,1.177957849634083,0.020462633451957295,s01,d03_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d04_t01,8768,4414,0.5398731309469869,0.4888708011516719,0.04213644096679983,0.5863848497015334,1.2939885948347187,0.023561395559583146,s01,d04_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d04_t02,8943,4434,0.5155615696887687,0.44111084197607764,0.02761660242895323,0.5854169841906509,1.2223929564932692,0.004736129905277402,s01,d04_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d05_t01,9054,4529,0.5347758887171561,0.4620454146789781,0.03116040967948097,0.5771450363296304,1.2542019193372351,0.002870390814749393,s01,d05_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s01/d05_t02,9072,4556,0.5428007023705005,0.47328842414105715,0.05557863172675257,0.587771101483515,1.330640075249068,0.0028533801580333624,s01,d05_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d01_t01,9057,4554,0.5955204216073782,0.511058446152677,0.01964981897030516,0.5021536107864288,1.077806662908433,0.00878348704435661,s02,d01_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d01_t02,9090,4511,0.5548658833961427,0.47965264262067403,0.02904198514416898,0.5504504607791839,1.2154774011845078,0.016626025271558414,s02,d01_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d02_t01,9055,4552,0.5474516695957821,0.49586584253884963,0.04246719410255164,0.5642565343820851,1.280773607745171,0.01999121265377856,s02,d02_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d02_t02,1293,666,0.8618618618618619,0.6406559864801945,0.02730902063004868,0.09337258212344098,0.29802558469192064,0.10510510510510511,s02,d02_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d03_t01,9093,4572,0.547244094488189,0.48596905705054505,0.022326115009981867,0.5638248580823286,1.237266444839279,0.0028433945756780404,s02,d03_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d03_t02,9039,4529,0.526164716272908,0.45579571328800206,0.021298941577850374,0.5633623296339101,1.2131367400066322,0.0052991830426142635,s02,d03_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d04_t01,9073,4550,0.5613186813186813,0.4745998965788493,0.03500979420812381,0.5301588674873249,1.147616678811618,0.0037362637362637363,s02,d04_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d04_t02,9052,4524,0.5641025641025641,0.48829585383152807,0.026358632524648283,0.5130920860085758,1.0367926542009684,0.001326259946949602,s02,d04_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d05_t01,9056,4547,0.5663074554651418,0.4996041397913291,0.03385112549177073,0.5399947643986995,1.1507284334576513,0.003958654057620409,s02,d05_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d05_t02,9088,4525,0.5392265193370166,0.47297079776479045,0.039428310035301166,0.5660063541583444,1.2699060124665817,0.016795580110497237,s02,d05_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
cross-session,cross-session/s01/d01_t02,13580,13666,0.3859944387531099,0.31364776546879347,0.11358255212775839,0.71642511267986,1.7232654400480574,0.03022098638957998,s01,,,,,d01_t01,d01_t02,1,,,
cross-session,cross-session/s01/d02_t01,13580,13611,0.46572625082653735,0.3894799543665938,0.027645583552782575,0.6206802674488481,1.378233857533878,0.006391888913378885,s01,,,,,d01_t01,d02_t01,2,,,
cross-session,cross-session/s01/d02_t02,13580,13531,0.4746877540462641,0.4024881139800137,0.022711576513139133,0.6230297042730214,1.3623892896065444,0.011676890104205159,s01,,,,,d01_t01,d02_t02,3,,,
cross-session,cross-session/s01/d03_t01,13580,13571,0.4781519416402623,0.38387917989189235,0.04143181265776715,0.5987435493846526,1.2993072318647818,0.0019158499742097119,s01,,,,,d01_t01,d03_t01,4,,,
cross-session,cross-session/s01/d03_t02,13580,13590,0.412214863870493,0.3044398863818747,0.13838572953296474,0.6788844125987077,1.5479826366025686,0.0063281824871228845,s01,,,,,d01_t01,d03_t02,5,,,
cross-session,cross-session/s01/d04_t01,13580,13182,0.4979517523896222,0.42912409369986015,0.0370474086181895,0.6204465956764603,1.3854582709270864,0.008117129418904566,s01,,,,,d01_t01,d04_t01,6,,,
cross-session,cross-session/s01/d04_t02,13580,13377,0.4792554384391119,0.40867595490501263,0.037308739765087764,0.621258693175455,1.3474005219415284,0.00859684533153921,s01,,,,,d01_t01,d04_t02,7,,,
cross-session,cross-session/s01/d05_t01,13580,13583,0.4594713980711183,0.36979551618830947,0.06922848122713932,0.6451685315176745,1.435768890483307,0.0008834572627549142,s01,,,,,d01_t01,d05_t01,8,,,
cross-session,cross-session/s01/d05_t02,13580,13628,0.4553125917229234,0.37834696188502376,0.062242350689754686,0.6479115162568702,1.4975245611091375,0.009098914000587027,s01,,,,,d01_t01,d05_t02,9,,,
cross-session,cross-session/s02/d01_t02,13611,13601,0.4894493051981472,0.40906439931130184,0.11734748163039929,0.6095785058216623,1.4092769537160041,0.0156606131902066,s02,,,,,d01_t01,d01_t02,1,,,
cross-session,cross-session/s02/d02_t01,13611,13607,0.4260307194826192,0.35244473603749904,0.1350963201921474,0.6908358097650024,1.58974297391126,0.005732343646652458,s02,,,,,d01_t01,d02_t01,2,,,
cross-session,cross-session/s02/d02_t02,13611,1959,0.4619703930576825,0.577824278591542,0.1770780614557697,0.7002566815349488,1.3169904820862122,0.036753445635528334,s02,,,,,d01_t01,d02_t02,3,,,
cross-session,cross-session/s02/d03_t01,13611,13665,0.45078668130259786,0.3732295781245857,0.12895557780159206,0.6857667766278044,1.6782416907992117,0.002414928649835346,s02,,,,,d01_t01,d03_t01,4,,,
cross-session,cross-session/s02/d03_t02,13611,13568,0.4087558962264151,0.3257299153280768,0.15893117747672825,0.6963268982018961,1.6111584680498061,0.0019899764150943396,s02,,,,,d01_t01,d03_t02,5,,,
cross-session,cross-session/s02/d04_t01,13611,13623,0.4090141672172062,0.3276467291180649,0.18033311469604815,0.7397874288280974,1.9345642247719652,0.024737576157968143,s02,,,,,d01_t01,d04_t01,6,,,
cross-session,cross-session/s02/d04_t02,13611,13576,0.4637595757218621,0.3818997308886871,0.1573930049928223,0.6489684729091649,1.458817187508192,0.0024307601649970535,s02,,,,,d01_t01,d04_t02,7,,,
cross-session,cross-session/s02/d05_t01,13611,13603,0.40571932661912813,0.3299921309924693,0.1764946460230326,0.7124845355168125,1.743338084939714,0.012203190472689848,s02,,,,,d01_t01,d05_t01,8,,,
cross-session,cross-session/s02/d05_t02,13611,13613,0.4103430544332623,0.3039288520731127,0.18379538224350728,0.6988670995521965,1.633169268049502,0.01160655256005289,s02,,,,,d01_t01,d05_t02,9,,,
cross-subject,cross-subject/s01,124426,135319,0.38749916863116046,0.2936959371837199,0.1152596694549657,0.6975656185028695,1.8406978102834939,0.007707712885847516,,,,,,,,,s01,,
cross-subject,cross-subject/s02,135319,124426,0.36807419671129826,0.2743434281560674,0.2109818065963474,0.7925321188572956,2.319154725814076,0.00947551154903316,,,,,,,,,s02,,
random-shuffle,random-shuffle/control,181821,77924,0.4458703351983984,0.3610021579275372,0.015276893352580614,0.6327485187165354,1.4189163758810603,0.0098685899081156,,,,,,,,,,leaky by construction — control condition only,0
