task,model,protocol,n_splits,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,ece_mean,ece_std,ece_min,ece_max,brier_mean,brier_std,brier_min,brier_max,nll_mean,nll_std,nll_min,nll_max,false_assist_rate_mean,false_assist_rate_std,false_assist_rate_min,false_assist_rate_max
binary,lda,within-session,20,0.939386396594539,0.023014384124520042,0.8588588588588588,0.9670645446507515,0.9173362723201764,0.07090903729432341,0.6269809791512183,0.9741882635026,0.015819414992225604,0.009567720920143293,0.004767669358929058,0.040496756228054646,0.046527410822329286,0.014847365628759511,0.02503179783707251,0.09400354162506275,0.1663375503881862,0.046257101630269234,0.09049667411922543,0.2987919240434853,0.026459687184911228,0.022897878746060262,0.0028433945756780404,0.10960960960960961
binary,lda,cross-session,18,0.895419170093887,0.07316977534475863,0.6013272077590608,0.9324076114907061,0.8962898384402798,0.06969107326484683,0.6407553798858147,0.9518966266458573,0.02711794915828841,0.039680928899225996,0.005254899540124645,0.1873212813242586,0.07671909748631278,0.046406869640880755,0.05156691099580573,0.26178887241212184,0.256286434335917,0.12829546201047629,0.16775386708221673,0.7635954108670028,0.023549470928155805,0.019688307391014757,0.0006629345904537419,0.0641399416909621
binary,lda,cross-subject,2,0.9193458602237272,0.011063025446429953,0.9082828347772973,0.9304088856701572,0.9118078414233184,0.004508479699767198,0.9072993617235512,0.9163163211230856,0.024264388556730195,0.00834479748729606,0.015919591069434132,0.03260918604402625,0.061093521081677635,0.007594170209900986,0.053499350871776645,0.06868769129157862,0.21084550225809978,0.024539965743894304,0.18630553651420548,0.23538546800199409,0.02527170198342934,0.008611196944289608,0.01666050503913973,0.033882898927718945
binary,lda,random-shuffle,1,0.9272752938760844,0.0,0.9272752938760844,0.9272752938760844,0.9009513293483185,0.0,0.9009513293483185,0.9009513293483185,0.011427719387431274,0.0,0.011427719387431274,0.011427719387431274,0.055286874288930324,0.0,0.055286874288930324,0.055286874288930324,0.1899237754762472,0.0,0.1899237754762472,0.1899237754762472,0.0371900826446281,0.0,0.0371900826446281,0.0371900826446281
binary,logreg,within-session,20,0.9635297345995483,0.026109653216295162,0.8618618618618619,0.9931476569407603,0.9488588874188475,0.07274822986553504,0.6406559864801945,0.9934078091691627,0.011687534093516801,0.008275684941988362,0.0024266830763922847,0.037797801197814125,0.028606255913472135,0.017394543945665947,0.005950291615210912,0.09337258212344098,0.10782503436822166,0.05716049803535712,0.02515115868077801,0.29802558469192064,0.015353217028307877,0.022126247540480024,0.0015473032714412025,0.10510510510510511
binary,logreg,cross-session,18,0.9299627165670208,0.08647543830318402,0.5803981623277182,0.9797222834472118,0.9292193084200286,0.07964408844148496,0.6119151876824511,0.9792605963388891,0.02755244762770586,0.04696872514066201,0.004331408340903061,0.21805477426771008,0.049853352696374746,0.05575002013489539,0.01773087656830987,0.27571761164874653,0.17172464813683613,0.16243534389173855,0.06839575108735871,0.8257472196237127,0.015867565820544587,0.01360225794000819,0.003000365898280278,0.05049026781794234
binary,logreg,cross-subject,2,0.9470754004073831,0.003020299383481362,0.9440551010239018,0.9500956997908645,0.9447887752430943,0.0031026168697866896,0.9416861583733076,0.947891392112881,0.01707319113034326,0.0009843680046022051,0.01608882312574105,0.018057559134945462,0.04001257489893896,0.003521078436700846,0.036491496462238114,0.043533653335639806,0.15479744479099466,0.02627485921316519,0.12852258557782947,0.18107230400415986,0.014647844846944971,0.0007990874662371621,0.013848757380707809,0.015446932313182133
binary,logreg,random-shuffle,1,0.9616036137775268,0.0,0.9616036137775268,0.9616036137775268,0.9509842029829362,0.0,0.9509842029829362,0.9509842029829362,0.007474395176080434,0.0,0.007474395176080434,0.007474395176080434,0.029898599081961352,0.0,0.029898599081961352,0.029898599081961352,0.11443982407172462,0.0,0.11443982407172462,0.11443982407172462,0.01723474154304194,0.0,0.01723474154304194,0.01723474154304194
multi,lda,within-session,20,0.5454321083503005,0.07710237322634589,0.4849690539345712,0.8588588588588588,0.4677680533919025,0.044761641051514665,0.41482596669098504,0.6269809791512183,0.06472484757107226,0.027196994019408213,0.03440913295327322,0.1225720740709796,0.5668035344668662,0.11301092870783369,0.09400354162506275,0.6333775655017074,1.287185207450342,0.24549591847334862,0.2987919240434853,1.486562102066354,0.018401702168023233,0.022292194322119183,0.0015473032714412025,0.10960960960960961
multi,lda,cross-session,18,0.42920520490767805,0.029816339260735538,0.37741674630596195,0.48687604308906085,0.35880336686371395,0.06849762612059525,0.2819403624727562,0.602172621354207,0.16375914158720992,0.08342545258785151,0.03643789886800624,0.28367302479247913,0.7232583415616696,0.056700459226939025,0.631566025329713,0.8055609975259563,1.730433102613732,0.26146368708680867,1.420043953543382,2.2525819859886367,0.012476849262093727,0.010086412765646919,0.0003682969946965233,0.03222230433818639
multi,lda,cross-subject,2,0.36510097346938664,0.016234980831192042,0.34886599263819457,0.38133595430057865,0.2728958744864556,0.021002628184419003,0.2518932463020366,0.2938985026708746,0.20358536525769647,0.08269792841914321,0.12088743683855326,0.2862832936768397,0.8097324668705974,0.07996688927457696,0.7297655775960205,0.8896993561451744,2.444425416573796,0.37365924111935866,2.0707661754544375,2.818084657693155,0.013570280438427344,0.005525338063039562,0.008044942375387781,0.019095618501466904
multi,lda,random-shuffle,1,0.4251706791232483,0.0,0.4251706791232483,0.4251706791232483,0.3434485988123344,0.0,0.3434485988123344,0.3434485988123344,0.024229602940418614,0.0,0.024229602940418614,0.024229602940418614,0.6696420075476408,0.0,0.6696420075476408,0.6696420075476408,1.511033979272161,0.0,1.511033979272161,1.511033979272161,0.01842821210410143,0.0,0.01842821210410143,0.01842821210410143
multi,logreg,within-session,20,0.5561162130798368,0.07432666102079895,0.4946949602122016,0.8618618618618619,0.4772701865754102,0.0447746584712635,0.42474685684192637,0.6406559864801945,0.030169943791129743,0.010192554883489982,0.010483737407153713,0.05557863172675257,0.5382143308229702,0.10610806638408712,0.09337258212344098,0.6077056058365979,1.1719588540037462,0.2166773791066291,0.29802558469192064,1.330640075249068,0.012817080978126885,0.02230292914457607,0.001326259946949602,0.10510510510510511
multi,logreg,cross-session,18,0.44636641938990906,0.03298793164094489,0.3859944387531099,0.4979517523896222,0.37564654317959517,0.06168262195559445,0.3039288520731127,0.577824278591542,0.10916716673314612,0.057472416392557894,0.022711576513139133,0.18379538224350728,0.664190032876063,0.04161424187615784,0.5987435493846526,0.7397874288280974,1.5195905574415978,0.17016558269447984,1.2993072318647818,1.9345642247719652,0.010931085043072629,0.00985170013210502,0.0008834572627549142,0.036753445635528334
multi,logreg,cross-subject,2,0.3777866826712294,0.0097124859599311,0.36807419671129826,0.38749916863116046,0.28401968266989364,0.009676254513826255,0.2743434281560674,0.2936959371837199,0.16312073802565655,0.047861068570690855,0.1152596694549657,0.2109818065963474,0.7450488686800825,0.047483250177213054,0.6975656185028695,0.7925321188572956,2.079926268048785,0.2392284577652911,1.8406978102834939,2.319154725814076,0.008591612217440339,0.0008838993315928218,0.007707712885847516,0.00947551154903316
multi,logreg,random-shuffle,1,0.4458703351983984,0.0,0.4458703351983984,0.4458703351983984,0.3610021579275372,0.0,0.3610021579275372,0.3610021579275372,0.015276893352580614,0.0,0.015276893352580614,0.015276893352580614,0.6327485187165354,0.0,0.6327485187165354,0.6327485187165354,1.4189163758810603,0.0,1.4189163758810603,1.4189163758810603,0.0098685899081156,0.0,0.0098685899081156,0.0098685899081156
