split,subject,protocol,tau,gated,unsafe_assist_rate,assist_availability,n_windows
within/s01/d01_t01,s01,within-session,0.5,False,0.0222417969610218,0.9566608493310064,4541
within/s01/d01_t01,s01,within-session,0.55,True,0.02048007046905968,0.9520069808027923,4541
within/s01/d01_t01,s01,within-session,0.6,True,0.01893855978859282,0.9444444444444444,4541
within/s01/d01_t01,s01,within-session,0.65,True,0.017176833296630698,0.9360093077370564,4541
within/s01/d01_t01,s01,within-session,0.7,True,0.014974675181678044,0.9243746364165212,4541
within/s01/d01_t01,s01,within-session,0.75,True,0.012552301255230125,0.9069226294357184,4541
within/s01/d01_t01,s01,within-session,0.8,True,0.010570358951772737,0.8865619546247818,4541
within/s01/d01_t01,s01,within-session,0.85,True,0.008808632459810615,0.8598022105875509,4541
within/s01/d01_t01,s01,within-session,0.9,True,0.007267121779343757,0.8161721931355439,4541
within/s01/d01_t01,s01,within-session,0.95,True,0.0035234529839242457,0.7294938917975567,4541
within/s01/d01_t01,s01,within-session,0.99,True,0.0008808632459810614,0.47876672484002325,4541
within/s01/d01_t02,s01,within-session,0.5,False,0.032696949747640994,0.9676206996241689,4557
within/s01/d01_t02,s01,within-session,0.55,True,0.028308097432521395,0.9612604799074878,4557
within/s01/d01_t02,s01,within-session,0.6,True,0.02326091727013386,0.955767562879445,4557
within/s01/d01_t02,s01,within-session,0.65,True,0.019530392802282203,0.9494073431627638,4557
within/s01/d01_t02,s01,within-session,0.7,True,0.015580425718674566,0.9389997108991038,4557
within/s01/d01_t02,s01,within-session,0.75,True,0.01184990125082291,0.9271465741543798,4557
within/s01/d01_t02,s01,within-session,0.8,True,0.008997147245995173,0.908644116796762,4557
within/s01/d01_t02,s01,within-session,0.85,True,0.005924950625411455,0.8829141370338248,4557
within/s01/d01_t02,s01,within-session,0.9,True,0.0028527540048277375,0.8456201214223764,4557
within/s01/d01_t02,s01,within-session,0.95,True,0.0017555409260478386,0.777103209019948,4557
within/s01/d01_t02,s01,within-session,0.99,True,0.00021944261575597982,0.5226944203527031,4557
within/s01/d02_t01,s01,within-session,0.5,False,0.017582417582417582,0.9710396756443672,4550
within/s01/d02_t01,s01,within-session,0.55,True,0.014725274725274726,0.9669852302345786,4550
within/s01/d02_t01,s01,within-session,0.6,True,0.012527472527472527,0.9643788010425717,4550
within/s01/d02_t01,s01,within-session,0.65,True,0.011428571428571429,0.9600347523892268,4550
within/s01/d02_t01,s01,within-session,0.7,True,0.009230769230769232,0.9530842745438749,4550
