n_splits,protocol,tau,gated,unsafe_assist_rate,assist_availability,n_windows
20,within-session,0.5,False,0.022688454969302496,0.9543477258404168,86652
20,within-session,0.55,True,0.020080321285140562,0.9484759518576018,86652
20,within-session,0.6,True,0.017783778793334256,0.9416357963017047,86652
20,within-session,0.65,True,0.015487236301527952,0.9329818466882888,86652
20,within-session,0.7,True,0.013456123343950514,0.9224372473369506,86652
20,within-session,0.75,True,0.011817384480450537,0.9106014725548365,86652
20,within-session,0.8,True,0.010028620228038592,0.8944156662618934,86652
20,within-session,0.85,True,0.008101371001246365,0.8723427148500545,86652
20,within-session,0.9,True,0.006335687577897798,0.8369276173201962,86652
20,within-session,0.95,True,0.0041776300604717724,0.771338979663987,86652
20,within-session,0.99,True,0.0017310621797534968,0.5793996034246891,86652
18,cross-session,0.5,False,0.022545301306363254,0.9109788404907277,232554
18,cross-session,0.55,True,0.02027916096906525,0.8993189389546452,232554
18,cross-session,0.6,True,0.018099022162594493,0.8859137474275449,232554
18,cross-session,0.65,True,0.015966184198078725,0.8711157348978409,232554
18,cross-session,0.7,True,0.013880647075517944,0.8532307762276722,232554
18,cross-session,0.75,True,0.011829510565288063,0.8320712669554639,232554
18,cross-session,0.8,True,0.009877275815509515,0.806363770735978,232554
18,cross-session,0.85,True,0.007912140836106883,0.7717081101977238,232554
18,cross-session,0.9,True,0.005865304402418363,0.7219872428966129,232554
18,cross-session,0.95,True,0.003607764218203084,0.6343532194062603,232554
18,cross-session,0.99,True,0.0012298218908296569,0.433889324737638,232554
