split,subject,protocol,tau,gated,coverage,selective_risk,n_windows
within/s01/d01_t01,s01,within-session,0.5,False,1.0,0.05505395287381634,4541
within/s01/d01_t01,s01,within-session,0.55,True,0.9889892094252367,0.05076820307281229,4541
within/s01/d01_t01,s01,within-session,0.6,True,0.9735741026205682,0.045238633793259445,4541
within/s01/d01_t01,s01,within-session,0.65,True,0.9590398590618806,0.04087256027554535,4541
within/s01/d01_t01,s01,within-session,0.7,True,0.9378991411583352,0.03451514440009392,4541
within/s01/d01_t01,s01,within-session,0.75,True,0.9141158335168466,0.030595037340399905,4541
within/s01/d01_t01,s01,within-session,0.8,True,0.8859282096454525,0.024857071836937607,4541
within/s01/d01_t01,s01,within-session,0.85,True,0.8495926007487338,0.021513737687921204,4541
within/s01/d01_t01,s01,within-session,0.9,True,0.7985025324818322,0.017926089354660783,4541
within/s01/d01_t01,s01,within-session,0.95,True,0.6897159216031711,0.011174968071519796,4541
within/s01/d01_t01,s01,within-session,0.99,True,0.4234750055053953,0.0046801872074883,4541
within/s01/d01_t02,s01,within-session,0.5,False,1.0,0.05727452271231073,4557
within/s01/d01_t02,s01,within-session,0.55,True,0.9833223612025456,0.051104664137469315,4557
within/s01/d01_t02,s01,within-session,0.6,True,0.967741935483871,0.04421768707482993,4557
within/s01/d01_t02,s01,within-session,0.65,True,0.9493087557603687,0.03698566805362922,4557
within/s01/d01_t02,s01,within-session,0.7,True,0.9286811498793066,0.030954631379962193,4557
within/s01/d01_t02,s01,within-session,0.75,True,0.9038841342988808,0.024763292061179897,4557
within/s01/d01_t02,s01,within-session,0.8,True,0.8749177090190915,0.020316027088036117,4557
within/s01/d01_t02,s01,within-session,0.85,True,0.8341013824884793,0.014206787687450671,4557
within/s01/d01_t02,s01,within-session,0.9,True,0.7768268597761685,0.00903954802259887,4557
within/s01/d01_t02,s01,within-session,0.95,True,0.6943164362519201,0.006321112515802781,4557
within/s01/d01_t02,s01,within-session,0.99,True,0.43427693658108407,0.0015159171298635675,4557
within/s01/d02_t01,s01,within-session,0.5,False,1.0,0.03956043956043956,4550
within/s01/d02_t01,s01,within-session,0.55,True,0.9874725274725275,0.0342755397284665,4550
within/s01/d02_t01,s01,within-session,0.6,True,0.9786813186813187,0.030316640467100833,4550
within/s01/d02_t01,s01,within-session,0.65,True,0.9672527472527472,0.027039309247898206,4550
within/s01/d02_t01,s01,within-session,0.7,True,0.9538461538461539,0.022119815668202765,4550
within/s01/d02_t01,s01,within-session,0.75,True,0.9419780219780219,0.019132057862809144,4550
within/s01/d02_t01,s01,within-session,0.8,True,0.9281318681318681,0.01586549846080985,4550
within/s01/d02_t01,s01,within-session,0.85,True,0.9052747252747253,0.013838310269482883,4550
within/s01/d02_t01,s01,within-session,0.9,True,0.8725274725274725,0.00982367758186398,4550
within/s01/d02_t01,s01,within-session,0.95,True,0.8079120879120879,0.006800870511425462,4550
within/s01/d02_t01,s01,within-session,0.99,True,0.5879120879120879,0.00411214953271028,4550
within/s01/d02_t02,s01,within-session,0.5,False,1.0,0.05481874447391689,4524
within/s01/d02_t02,s01,within-session,0.55,True,0.9858532272325375,0.04865470852017937,4524
within/s01/d02_t02,s01,within-session,0.6,True,0.9725906277630415,0.04318181818181818,4524
within/s01/d02_t02,s01,within-session,0.65,True,0.9549071618037135,0.037037037037037035,4524
within/s01/d02_t02,s01,within-session,0.7,True,0.9370026525198939,0.032083038452465205,4524
within/s01/d02_t02,s01,within-session,0.75,True,0.9148983200707339,0.02585165498912781,4524
within/s01/d02_t02,s01,within-session,0.8,True,0.8938992042440318,0.023491592482690407,4524
within/s01/d02_t02,s01,within-session,0.85,True,0.8583112290008842,0.018799896986865825,4524
within/s01/d02_t02,s01,within-session,0.9,True,0.8156498673740054,0.014092140921409214,4524
within/s01/d02_t02,s01,within-session,0.95,True,0.7380636604774535,0.006888289907157832,4524
within/s01/d02_t02,s01,within-session,0.99,True,0.5075154730327144,0.00043554006968641115,4524
within/s01/d03_t01,s01,within-session,0.5,False,1.0,0.0411413404114134,4521
within/s01/d03_t01,s01,within-session,0.55,True,0.9907100199071002,0.037954900647465956,4521
within/s01/d03_t01,s01,within-session,0.6,True,0.9781021897810219,0.03324287652645862,4521
within/s01/d03_t01,s01,within-session,0.65,True,0.9666003096660031,0.029748283752860413,4521
within/s01/d03_t01,s01,within-session,0.7,True,0.9502322495023225,0.02397579143389199,4521
within/s01/d03_t01,s01,within-session,0.75,True,0.935633709356337,0.02198581560283688,4521
within/s01/d03_t01,s01,within-session,0.8,True,0.915947799159478,0.017870079690895917,4521
within/s01/d03_t01,s01,within-session,0.85,True,0.8918380889183809,0.014384920634920634,4521
within/s01/d03_t01,s01,within-session,0.9,True,0.8604291086042911,0.012596401028277636,4521
within/s01/d03_t01,s01,within-session,0.95,True,0.7956204379562044,0.008618293021962747,4521
within/s01/d03_t01,s01,within-session,0.99,True,0.6087148860871489,0.003633720930232558,4521
within/s01/d03_t02,s01,within-session,0.5,False,1.0,0.07851423487544484,4496
within/s01/d03_t02,s01,within-session,0.55,True,0.9768683274021353,0.07081056466302368,4496
within/s01/d03_t02,s01,within-session,0.6,True,0.9584074733096085,0.06405198421907635,4496
within/s01/d03_t02,s01,within-session,0.65,True,0.9354982206405694,0.05587256300523062,4496
within/s01/d03_t02,s01,within-session,0.7,True,0.9137010676156584,0.05038948393378773,4496
within/s01/d03_t02,s01,within-session,0.75,True,0.8890124555160143,0.04453340005003753,4496
within/s01/d03_t02,s01,within-session,0.8,True,0.8545373665480427,0.03617907339927121,4496
within/s01/d03_t02,s01,within-session,0.85,True,0.8138345195729537,0.027329871549603715,4496
within/s01/d03_t02,s01,within-session,0.9,True,0.7584519572953736,0.021407624633431085,4496
within/s01/d03_t02,s01,within-session,0.95,True,0.6508007117437722,0.00888585099111415,4496
within/s01/d03_t02,s01,within-session,0.99,True,0.4025800711743772,0.0033149171270718232,4496
within/s01/d04_t01,s01,within-session,0.5,False,1.0,0.05663797009515179,4414
within/s01/d04_t01,s01,within-session,0.55,True,0.9859537834164024,0.04986213235294118,4414
within/s01/d04_t01,s01,within-session,0.6,True,0.9725872224739466,0.04635453063126019,4414
within/s01/d04_t01,s01,within-session,0.65,True,0.9596737652922519,0.04367327667610954,4414
within/s01/d04_t01,s01,within-session,0.7,True,0.9454009968282737,0.040258806613946804,4414
within/s01/d04_t01,s01,within-session,0.75,True,0.9275033982782057,0.03663898387884709,4414
within/s01/d04_t01,s01,within-session,0.8,True,0.9064340734028092,0.03499125218695326,4414
within/s01/d04_t01,s01,within-session,0.85,True,0.8824195740824649,0.03209242618741977,4414
within/s01/d04_t01,s01,within-session,0.9,True,0.8450385138196647,0.029222520107238605,4414
within/s01/d04_t01,s01,within-session,0.95,True,0.7666515632079747,0.023936170212765957,4414
within/s01/d04_t01,s01,within-session,0.99,True,0.5566379700951518,0.018722018722018723,4414
within/s01/d04_t02,s01,within-session,0.5,False,1.0,0.08976093820478123,4434
within/s01/d04_t02,s01,within-session,0.55,True,0.9612088407758231,0.07719380572501174,4434
within/s01/d04_t02,s01,within-session,0.6,True,0.9197113216057735,0.061059342815105444,4434
within/s01/d04_t02,s01,within-session,0.65,True,0.8822733423545331,0.04959100204498978,4434
within/s01/d04_t02,s01,within-session,0.7,True,0.8430311231393776,0.04039593365436062,4434
within/s01/d04_t02,s01,within-session,0.75,True,0.8028867839422643,0.034269662921348316,4434
