n_splits,protocol,tau,gated,coverage,selective_risk,n_windows
20,within-session,0.5,False,1.0,0.05696348612842173,86652
20,within-session,0.55,True,0.9856898859807044,0.05147988573034234,86652
20,within-session,0.6,True,0.9710681807690532,0.04588507932735159,86652
20,within-session,0.65,True,0.9550270045700041,0.04083136970575796,86652
20,within-session,0.7,True,0.9374971148963671,0.03595696489241223,86652
20,within-session,0.75,True,0.9187208604533075,0.03173008076976221,86652
20,within-session,0.8,True,0.8941859391589346,0.02725759198791993,86652
20,within-session,0.85,True,0.8630152795088399,0.022746115375357707,86652
20,within-session,0.9,True,0.8165997322623829,0.01810344827586207,86652
20,within-session,0.95,True,0.7325855144716799,0.01280718336483932,86652
20,within-session,0.99,True,0.5070973549369894,0.006099087412666985,86652
18,cross-session,0.5,False,1.0,0.08988019986755764,232554
18,cross-session,0.55,True,0.9785598183647669,0.0817338114321873,232554
18,cross-session,0.6,True,0.956031717364569,0.07375106261441378,232554
18,cross-session,0.65,True,0.9327081022042192,0.06624098107466403,232554
18,cross-session,0.7,True,0.9067743405832623,0.05887876172501114,232554
18,cross-session,0.75,True,0.8780756297462095,0.051616062683643486,232554
18,cross-session,0.8,True,0.845205844664035,0.04449622499440363,232554
18,cross-session,0.85,True,0.8029618927216905,0.03689244478718163,232554
18,cross-session,0.9,True,0.7443690497690859,0.028699178538005615,232554
18,cross-session,0.95,True,0.6423497338252621,0.019614274907786132,232554
18,cross-session,0.99,True,0.4020270560815983,0.007979206999454504,232554
