reason_dropout,rejected,rejection_rate,session,subject,windows
36,36,0.0026439482961222094,d01_t01,s01,13616
4,4,0.0002926115581565472,d01_t02,s01,13670
11,11,0.0008075172515049186,d02_t01,s01,13622
44,44,0.003241252302025783,d02_t02,s01,13575
36,36,0.00264569706768575,d03_t01,s01,13607
67,67,0.004905909057626126,d03_t02,s01,13657
488,488,0.035698610095098754,d04_t01,s01,13670
192,192,0.01414990050851205,d04_t02,s01,13569
12,12,0.0008826774549466716,d05_t01,s01,13595
25,25,0.001831099392075002,d05_t02,s01,13653
