accuracy,assist_availability,balanced_accuracy,ece,meta_held_out_subject,meta_seed,meta_session,meta_sessions_elapsed,meta_split_by,meta_subject,meta_test_repetitions,meta_test_session,meta_train_repetitions,meta_train_sessions,meta_warning,n_test,n_train,protocol,split,unsafe_assist_rate
0.9449460471261837,0.9566608493310064,0.9325461998241613,0.010402086363762244,,,d01_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4541,9039,within-session,within/s01/d01_t01,0.0222417969610218
0.9427254772876893,0.9676206996241689,0.9159597122893157,0.01242373139888058,,,d01_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4557,9109,within-session,within/s01/d01_t02,0.032696949747640994
0.9604395604395605,0.9710396756443672,0.9490567566918281,0.0048561441279889594,,,d02_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4550,9061,within-session,within/s01/d02_t01,0.017582417582417582
0.9451812555260831,0.945611510791367,0.9446837344233289,0.005806356841398538,,,d02_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4524,9007,within-session,within/s01/d02_t02,0.013041556145004421
0.9588586595885866,0.9766878595216469,0.9435984453601667,0.006064715328595219,,,d03_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4521,9050,within-session,within/s01/d03_t01,0.024109710241097104
0.9214857651245552,0.9530445319600122,0.8936770776954872,0.004767669358929058,,,d03_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4496,9094,within-session,within/s01/d03_t02,0.04403914590747331
0.9433620299048482,0.9843009478672986,0.8972564469586974,0.020862030597764362,,,d04_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4414,8768,within-session,within/s01/d04_t01,0.044630720434979614
0.9102390617952187,0.9322185727082711,0.8873074430361632,0.034661651696970205,,,d04_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4434,8943,within-session,within/s01/d04_t02,0.03856562922868741
0.9330978140869949,0.952744349867919,0.913092317536455,0.01777788268992863,,,d05_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4529,9054,within-session,within/s01/d05_t01,0.03135349966880106
0.9422739244951712,0.973630831643002,0.9089873615228585,0.01699750993370868,,,d05_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4556,9072,within-session,within/s01/d05_t02,0.03775241439859526
0.945542380324989,0.937731196054254,0.95130834611873,0.005780877895094756,,,d01_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4554,9057,within-session,within/s02/d01_t01,0.010101010101010102
0.926845488805143,0.9340054995417049,0.9209607465398346,0.020552384188140253,,,d01_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4511,9090,within-session,within/s02/d01_t02,0.025271558412768787
0.9417838312829525,0.9546362339514979,0.9266972955812887,0.024150179600103495,,,d02_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4552,9055,within-session,within/s02/d02_t01,0.02328646748681898
0.8588588588588588,0.9626998223801065,0.6269809791512183,0.040496756228054646,,,d02_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,666,1293,within-session,within/s02/d02_t02,0.10960960960960961
0.9634733158355205,0.9560752994865944,0.9719400887676874,0.012970430045464882,,,d03_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4572,9093,within-session,within/s02/d03_t01,0.0028433945756780404
