accuracy,assist_availability,balanced_accuracy,ece,meta_held_out_subject,meta_seed,meta_session,meta_sessions_elapsed,meta_split_by,meta_subject,meta_test_repetitions,meta_test_session,meta_train_repetitions,meta_train_sessions,meta_warning,n_test,n_train,protocol,split,unsafe_assist_rate
0.9748953974895398,0.9764397905759162,0.9732606931120742,0.009375281035381208,,,d01_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4541,9039,within-session,within/s01/d01_t01,0.007267121779343757
0.9719113451832346,0.9736918184446371,0.9699970931931747,0.005689308075129563,,,d01_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4557,9109,within-session,within/s01/d01_t02,0.008119376782971253
0.9830769230769231,0.984071821604402,0.9820085634913532,0.0060576882565840096,,,d02_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4550,9061,within-session,within/s01/d02_t01,0.004835164835164835
0.9659593280282935,0.9594244604316546,0.9735158527134441,0.009244676799022269,,,d02_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4524,9007,within-session,within/s01/d02_t02,0.0028735632183908046
0.9860650298606503,0.9875870420829549,0.9847623223551063,0.01175610796381012,,,d03_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4521,9050,within-session,within/s01/d03_t01,0.004866180048661801
0.9653024911032029,0.9851560133292941,0.9478081321876597,0.005206024969139384,,,d03_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4496,9094,within-session,within/s01/d03_t02,0.023798932384341637
0.9662437698232895,0.9920023696682464,0.9372343254892292,0.014160170761328392,,,d04_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4414,8768,within-session,within/s01/d04_t01,0.027639329406434075
0.9600811907983762,0.9593908629441624,0.9608014222554914,0.01896851027341342,,,d04_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4434,8943,within-session,within/s01/d04_t02,0.009246729815065404
0.9717376904393906,0.9685940710302319,0.9749387467450625,0.006993255006844943,,,d05_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4529,9054,within-session,within/s01/d05_t01,0.00463678516228748
0.9747585601404741,0.973630831643002,0.9759556873147137,0.037797801197814125,,,d05_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4556,9072,within-session,within/s01/d05_t02,0.0052677787532923615
0.9754062362758015,0.9793464858199753,0.9724976703909036,0.0024266830763922847,,,d01_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4554,9057,within-session,within/s02/d01_t01,0.009881422924901186
0.9419197517180226,0.9523373052245646,0.9333576671518622,0.007166511183777276,,,d01_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4511,9090,within-session,within/s02/d01_t02,0.02349811571713589
0.9481546572934973,0.9651925820256776,0.9281550302678532,0.016227145542462913,,,d02_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4552,9055,within-session,within/s02/d02_t01,0.025043936731107205
