accuracy,assist_availability,balanced_accuracy,ece,meta_held_out_subject,meta_seed,meta_session,meta_sessions_elapsed,meta_split_by,meta_subject,meta_test_repetitions,meta_test_session,meta_train_repetitions,meta_train_sessions,meta_warning,n_test,n_train,protocol,split,unsafe_assist_rate
0.4970270865448139,0.37463641652123325,0.42412962695267037,0.03802754405440729,,,d01_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4541,9039,within-session,within/s01/d01_t01,0.00022021581149526536
0.48540706605222733,0.5368603642671292,0.41482596669098504,0.06399965519925586,,,d01_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4557,9109,within-session,within/s01/d01_t02,0.004169409699363616
0.49252747252747253,0.3649000868809731,0.4200785850400249,0.04090064184226909,,,d02_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4550,9061,within-session,within/s01/d02_t01,0.007032967032967033
0.4849690539345712,0.3631654676258993,0.41719507109770326,0.06881371705724455,,,d02_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4524,9007,within-session,within/s01/d02_t02,0.002652519893899204
0.568679495686795,0.48864668483197093,0.4937688194038714,0.03440913295327322,,,d03_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4521,9050,within-session,within/s01/d03_t01,0.0092899800928998
0.531806049822064,0.524992426537413,0.4622002120088196,0.06409507243971597,,,d03_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4496,9094,within-session,within/s01/d03_t02,0.013567615658362989
0.5117806977797916,0.4765995260663507,0.462474351961686,0.03580079328602638,,,d04_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4414,8768,within-session,within/s01/d04_t01,0.023561395559583146
0.5,0.5025380710659898,0.42854076959219567,0.04262191517129014,,,d04_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4434,8943,within-session,within/s01/d04_t02,0.007893549842129003
0.5274895120335615,0.5027883768711476,0.4627560144211594,0.034693554254628514,,,d05_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4529,9054,within-session,within/s01/d05_t01,0.0090527710311327
0.5355575065847235,0.4410315850478122,0.4736987213833139,0.038738881914381434,,,d05_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4556,9072,within-session,within/s01/d05_t02,0.007462686567164179
0.5799297321036452,0.623921085080148,0.4929821229542076,0.06940010577150202,,,d01_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4554,9057,within-session,within/s02/d01_t01,0.005709266578831796
0.5402349811571714,0.581729300336083,0.46397373752668364,0.0678909242219349,,,d01_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4511,9090,within-session,within/s02/d01_t02,0.013079139880292618
0.5388840070298769,0.6202567760342368,0.4856948518000035,0.08337212372819319,,,d02_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4552,9055,within-session,within/s02/d02_t01,0.010105448154657293
0.8588588588588588,0.9626998223801065,0.6269809791512183,0.040496756228054646,,,d02_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,666,1293,within-session,within/s02/d02_t02,0.10960960960960961
0.5304024496937882,0.6095265259555048,0.464808982561824,0.06703054166395794,,,d03_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4572,9093,within-session,within/s02/d03_t01,0.0010936132983377078
0.5120335614926033,0.6221184709658594,0.44191922465625677,0.11439056344377063,,,d03_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4529,9039,within-session,within/s02/d03_t02,0.008169573857363657
0.5668131868131868,0.5651135005973715,0.4819056506328492,0.08209403752985796,,,d04_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4550,9073,within-session,within/s02/d04_t01,0.0032967032967032967
0.5610079575596817,0.7091124962897002,0.485063456411268,0.06981020494782114,,,d04_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4524,9052,within-session,within/s02/d04_t02,0.0015473032714412025
0.5599296239278645,0.7430818526070492,0.4929313497589505,0.11533871164288058,,,d05_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4547,9056,within-session,within/s02/d05_t01,0.0041785792830437655
0.5253038674033149,0.6221498371335505,0.45943257383235847,0.1225720740709796,,,d05_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4525,9088,within-session,within/s02/d05_t02,0.018342541436464087
0.38050636616420314,0.47468839884947267,0.3022920186044038,0.187380290331825,,,,1,,s01,,d01_t02,,d01_t01,,13666,13580,cross-session,cross-session/s01/d01_t02,0.004097760866383726
0.43714642568510764,0.28582479210984335,0.3580061393786551,0.07842567542121956,,,,2,,s01,,d02_t01,,d01_t01,,13611,13580,cross-session,cross-session/s01/d02_t01,0.0007346998751010213
0.44593895499224007,0.2573929961089494,0.38219265493743687,0.03643789886800624,,,,3,,s01,,d02_t02,,d01_t01,,13531,13580,cross-session,cross-session/s01/d02_t02,0.004138644593895499
0.4479404612777246,0.3114214463840399,0.3540773139588492,0.09860748996241075,,,,4,,s01,,d03_t01,,d01_t01,,13571,13580,cross-session,cross-session/s01/d03_t01,0.001473730749392086
0.4287711552612215,0.26577973392017606,0.3310385390234657,0.08716882577365956,,,,5,,s01,,d03_t02,,d01_t01,,13590,13580,cross-session,cross-session/s01/d03_t02,0.0036055923473142016
0.48687604308906085,0.3426977485554891,0.41731116975105526,0.050996574455564526,,,,6,,s01,,d04_t01,,d01_t01,,13182,13580,cross-session,cross-session/s01/d04_t01,0.004627522379001669
0.43156163564326827,0.3317549570878958,0.36660169630521744,0.09186994089267968,,,,7,,s01,,d04_t02,,d01_t01,,13377,13580,cross-session,cross-session/s01/d04_t02,0.002242655303879794
0.4346609732754178,0.25608320251177397,0.34599125041050083,0.09833351476239371,,,,8,,s01,,d05_t01,,d01_t01,,13583,13580,cross-session,cross-session/s01/d05_t01,0.00014724287712581904
0.44034341062518345,0.3141229848440969,0.3697171865296172,0.05975228804905717,,,,9,,s01,,d05_t02,,d01_t01,,13628,13580,cross-session,cross-session/s01/d05_t02,0.0029351335485764602
0.48158223660024996,0.701543056246889,0.39490651963264956,0.1932216833247552,,,,1,,s02,,d01_t02,,d01_t01,,13601,13611,cross-session,cross-session/s02/d01_t02,0.00816116462024851
