accuracy_max,accuracy_mean,accuracy_min,accuracy_std,assist_availability_max,assist_availability_mean,assist_availability_min,assist_availability_std,balanced_accuracy_max,balanced_accuracy_mean,balanced_accuracy_min,balanced_accuracy_std,ece_max,ece_mean,ece_min,ece_std,model,n_splits,protocol,task,unsafe_assist_rate_max,unsafe_assist_rate_mean,unsafe_assist_rate_min,unsafe_assist_rate_std
0.9670645446507515,0.939386396594539,0.8588588588588588,0.023014384124520042,0.9843009478672986,0.9546071690319227,0.9322185727082711,0.014523734354375784,0.9741882635026,0.9173362723201764,0.6269809791512183,0.07090903729432341,0.040496756228054646,0.015819414992225604,0.004767669358929058,0.009567720920143293,lda,20,within-session,binary,0.10960960960960961,0.026459687184911228,0.0028433945756780404,0.022897878746060262
0.9324076114907061,0.895419170093887,0.6013272077590608,0.07316977534475863,0.9635214007782101,0.8960065934118487,0.5858585858585859,0.08012239954435663,0.9518966266458573,0.8962898384402798,0.6407553798858147,0.06969107326484683,0.1873212813242586,0.02711794915828841,0.005254899540124645,0.039680928899225996,lda,18,cross-session,binary,0.0641399416909621,0.023549470928155805,0.0006629345904537419,0.019688307391014757
0.9304088856701572,0.9193458602237272,0.9082828347772973,0.011063025446429953,0.9526803376618289,0.926612263909774,0.9005441901577192,0.026068073752054832,0.9163163211230856,0.9118078414233184,0.9072993617235512,0.004508479699767198,0.03260918604402625,0.024264388556730195,0.015919591069434132,0.00834479748729606,lda,2,cross-subject,binary,0.033882898927718945,0.02527170198342934,0.01666050503913973,0.008611196944289608
0.9272752938760844,0.9272752938760844,0.9272752938760844,0.0,0.9528480204342273,0.9528480204342273,0.9528480204342273,0.0,0.9009513293483185,0.9009513293483185,0.9009513293483185,0.0,0.011427719387431274,0.011427719387431274,0.011427719387431274,0.0,lda,1,random-shuffle,binary,0.0371900826446281,0.0371900826446281,0.0371900826446281,0.0
0.9931476569407603,0.9635297345995483,0.8618618618618619,0.026109653216295162,0.9928762243989314,0.9721073306189785,0.9523373052245646,0.01230854088780042,0.9934078091691627,0.9488588874188475,0.6406559864801945,0.07274822986553504,0.037797801197814125,0.011687534093516801,0.0024266830763922847,0.008275684941988362,logreg,20,within-session,binary,0.10510510510510511,0.015353217028307877,0.0015473032714412025,0.022126247540480024
0.9797222834472118,0.9299627165670208,0.5803981623277182,0.08647543830318402,0.9914669223394056,0.9315404763711563,0.5680332739156269,0.09186514523618289,0.9792605963388891,0.9292193084200286,0.6119151876824511,0.07964408844148496,0.21805477426771008,0.02755244762770586,0.004331408340903061,0.04696872514066201,logreg,18,cross-session,binary,0.05049026781794234,0.015867565820544587,0.003000365898280278,0.01360225794000819
0.9500956997908645,0.9470754004073831,0.9440551010239018,0.003020299383481362,0.9522200677673972,0.9492785837393977,0.9463370997113981,0.0029414840279995413,0.947891392112881,0.9447887752430943,0.9416861583733076,0.0031026168697866896,0.018057559134945462,0.01707319113034326,0.01608882312574105,0.0009843680046022051,logreg,2,cross-subject,binary,0.015446932313182133,0.014647844846944971,0.013848757380707809,0.0007990874662371621
0.9616036137775268,0.9616036137775268,0.9616036137775268,0.0,0.9719199659429545,0.9719199659429545,0.9719199659429545,0.0,0.9509842029829362,0.9509842029829362,0.9509842029829362,0.0,0.007474395176080434,0.007474395176080434,0.007474395176080434,0.0,logreg,1,random-shuffle,binary,0.01723474154304194,0.01723474154304194,0.01723474154304194,0.0
0.8588588588588588,0.5454321083503005,0.4849690539345712,0.07710237322634589,0.9626998223801065,0.5617934336547765,0.3631654676258993,0.13819361416726955,0.6269809791512183,0.4677680533919025,0.41482596669098504,0.044761641051514665,0.1225720740709796,0.06472484757107226,0.03440913295327322,0.027196994019408213,lda,20,within-session,multi,0.10960960960960961,0.013001744492787098,0.00022021581149526536,0.022884116145566936
0.48687604308906085,0.42920520490767805,0.37741674630596195,0.029816339260735538,0.7099035933391762,0.4697929117491615,0.25608320251177397,0.17200319836735972,0.602172621354207,0.35880336686371395,0.2819403624727562,0.06849762612059525,0.28367302479247913,0.16375914158720992,0.03643789886800624,0.08342545258785151,lda,18,cross-session,multi,0.013272077590607452,0.0033769448778681677,0.00014724287712581904,0.003354925774757149
0.38133595430057865,0.36510097346938664,0.34886599263819457,0.016234980831192042,0.4458312478035378,0.3794857318203697,0.3131402158372016,0.0663455159831681,0.2938985026708746,0.2728958744864556,0.2518932463020366,0.021002628184419003,0.2862832936768397,0.20358536525769647,0.12088743683855326,0.08269792841914321,lda,2,cross-subject,multi,0.008217619107442413,0.0054429358617275716,0.0026682526160127303,0.0027746832457148413
0.4251706791232483,0.4251706791232483,0.4251706791232483,0.0,0.14125159642401022,0.14125159642401022,0.14125159642401022,0.0,0.3434485988123344,0.3434485988123344,0.3434485988123344,0.0,0.024229602940418614,0.024229602940418614,0.024229602940418614,0.0,lda,1,random-shuffle,multi,0.003182588162825317,0.003182588162825317,0.003182588162825317,0.0
0.8618618618618619,0.5561162130798368,0.4946949602122016,0.07432666102079895,0.9609236234458259,0.41924931248803043,0.2403706921517521,0.15112518339795716,0.6406559864801945,0.4772701865754102,0.42474685684192637,0.0447746584712635,0.05557863172675257,0.030169943791129743,0.010483737407153713,0.010192554883489982,logreg,20,within-session,multi,0.10510510510510511,0.008175900669492406,0.0,0.022534972092964626
0.4979517523896222,0.44636641938990906,0.3859944387531099,0.03298793164094489,0.6768916155419223,0.42040771232057844,0.23073929961089495,0.147046429235258,0.577824278591542,0.37564654317959517,0.3039288520731127,0.06168262195559445,0.18379538224350728,0.10916716673314612,0.022711576513139133,0.057472416392557894,logreg,18,cross-session,multi,0.020700286280554942,0.003980442233399899,0.0,0.005189323109797525
0.38749916863116046,0.3777866826712294,0.36807419671129826,0.0097124859599311,0.4429665285779704,0.3435086476840143,0.24405076679005816,0.09945788089395613,0.2936959371837199,0.28401968266989364,0.2743434281560674,0.009676254513826255,0.2109818065963474,0.16312073802565655,0.1152596694549657,0.047861068570690855,logreg,2,cross-subject,multi,0.0022101490042274125,0.0015115214903415235,0.0008128939764556344,0.000698627513885889
0.4458703351983984,0.4458703351983984,0.4458703351983984,0.0,0.09455938697318007,0.09455938697318007,0.09455938697318007,0.0,0.3610021579275372,0.3610021579275372,0.3610021579275372,0.0,0.015276893352580614,0.015276893352580614,0.015276893352580614,0.0,logreg,1,random-shuffle,multi,0.0009881422924901185,0.0009881422924901185,0.0009881422924901185,0.0
