session,anom_flag_ch0,mean_conf,disagreement,move_pred_share
d01_t01,0.018666666666666668,0.9432067467199501,0.03133333333333333,0.695
d01_t02,0.022333333333333334,0.9512046030351997,0.04133333333333333,0.6876666666666666
d02_t01,0.008333333333333333,0.9243361613850459,0.05366666666666667,0.6793333333333333
d02_t02,0.005104645227156712,0.7873952115127663,0.22460438999489535,0.5426237876467586
d03_t01,0.006,0.9270517190018142,0.051,0.6926666666666667
d03_t02,0.006,0.9272091688925793,0.055,0.671
d04_t01,0.02266666666666667,0.9484274913027955,0.049666666666666665,0.694
d04_t02,0.010333333333333333,0.9419689996540743,0.052,0.6863333333333334
d05_t01,0.01633333333333333,0.9293833803789009,0.06766666666666667,0.6743333333333333
d05_t02,0.011333333333333334,0.9412568655036969,0.06133333333333333,0.6606666666666666
